name,sym,open,close,change,percent,snr
Synaptics,SYNA,86.41,81.42,-4.99,-0.058,-0.1
Radian,RDN,37.16,36.15,-1.01,-0.027,-0.1
Southwest Gas,SWX,74.45,72.72,-1.73,-0.023,-0.1
Assured Guaranty,AGO,82.65,80.08,-2.57,-0.031,-0.1
"Vista Outdoor, Inc.",VSTO,40.55,40.04,-0.51,-0.013,-0.1
Vista Outdoor,VSTO,40.55,40.04,-0.51,-0.013,-0.1
Bank of Hawaii,BOH,68.45,66.37,-2.08,-0.03,-0.1
Avista,AVA,39.33,38.64,-0.69,-0.018,-0.1
Applied Materials,AMAT,204.13,197.26,-6.87,-0.034,-0.11
Synopsys,SNPS,556.04,519.58,-36.46,-0.066,-0.11
Microchip,MCHP,87.5,82.16,-5.34,-0.061,-0.11
Devon Energy,DVN,47.12,44.78,-2.34,-0.05,-0.11
CenterPoint Energy,CNP,27.86,27.3,-0.56,-0.02,-0.11
Ares Management,ARES,152.57,146.4,-6.17,-0.04,-0.11
Gartner,IT,499.82,491.96,-7.86,-0.016,-0.11
Formula One Group,FWONK,80.85,78.05,-2.8,-0.035,-0.11
Texas Roadhouse,TXRH,175.18,168.75,-6.43,-0.037,-0.11
Mosaic,MOS,29.68,28.57,-1.11,-0.037,-0.11
Alaska Air,ALK,37.74,36.11,-1.63,-0.043,-0.11
Robert Half,RHI,64.15,62.67,-1.48,-0.023,-0.11
Allegheny,ATI,67.48,63.88,-3.6,-0.053,-0.11
Graco,GGG,84.53,83.35,-1.18,-0.014,-0.11
Krystal Biotech,KRYS,208.77,195.12,-13.65,-0.065,-0.11
"Voya Financial, Inc.",VOYA,71.84,70.83,-1.01,-0.014,-0.11
Voya Financial,VOYA,71.84,70.83,-1.01,-0.014,-0.11
East West Bancorp,EWBC,87.77,84.07,-3.7,-0.042,-0.11
MI Homes,MHO,168.03,159.37,-8.66,-0.052,-0.11
Churchill Downs,CHDN,143.91,138.97,-4.94,-0.034,-0.11
Boise Cascade,BCC,141.72,135.62,-6.1,-0.043,-0.11
Donaldson,DCI,74.5,72.73,-1.77,-0.024,-0.11
Griffon,GFF,72.19,66.19,-6,-0.083,-0.11
Herc,HRI,155.87,146.37,-9.5,-0.061,-0.11
Morningstar,MORN,317.65,313.77,-3.88,-0.012,-0.11
"Winnebago Industries, Inc.",WGO,62.47,59.66,-2.81,-0.045,-0.11
Winnebago Industries,WGO,62.47,59.66,-2.81,-0.045,-0.11
PNM Resources,PNM,41.86,40.73,-1.13,-0.027,-0.11
Liquidia Technologies,LQDA,12.01,9.51,-2.5,-0.208,-0.11
PACCAR,PCAR,98.25,96.18,-2.07,-0.021,-0.12
Caesars Entertainment,CZR,39.75,37.64,-2.11,-0.053,-0.12
Macy's,M,17.39,15.57,-1.82,-0.105,-0.12
"WESCO International, Inc.",WCC,161.79,165.38,3.59,0.022,-0.12
WESCO International,WCC,161.79,165.38,3.59,0.022,-0.12
EPAM,EPAM,216.74,200.76,-15.98,-0.074,-0.12
"Watsco, Inc.",WSO,488.07,475.42,-12.65,-0.026,-0.12
Watsco,WSO,488.07,475.42,-12.65,-0.026,-0.12
Knight Transportation,KNX,54.83,52.38,-2.45,-0.045,-0.12
Mohawk Industries,MHK,161.85,155.14,-6.71,-0.041,-0.12
Dentsply Sirona,XRAY,27.26,25.29,-1.97,-0.072,-0.12
AutoNation,AN,190.89,177.98,-12.91,-0.068,-0.12
Magnolia Oil & Gas,MGY,27.56,25.61,-1.95,-0.071,-0.12
OneMain,OMF,51.79,49.41,-2.38,-0.046,-0.12
Uranium Energy,UEC,5.88,5.23,-0.65,-0.111,-0.12
Kulicke and Soffa Industries,KLIC,46.79,43.81,-2.98,-0.064,-0.12
Walt Disney,DIS,93.86,90.38,-3.48,-0.037,-0.13
e.l.f. Beauty,ELF,173.25,149.79,-23.46,-0.135,-0.13
Phillips 66,PSX,145.57,140.31,-5.26,-0.036,-0.13
Constellation Brands,STZ,246.09,240.71,-5.38,-0.022,-0.13
Lattice Semiconductor,LSCC,52.12,47.36,-4.76,-0.091,-0.13
Bunge,BG,105.97,101.38,-4.59,-0.043,-0.13
American Eagle Outfitters,AEO,22.07,20.58,-1.49,-0.068,-0.13
Universal Display,OLED,221.32,193.72,-27.6,-0.125,-0.13
BorgWarner,BWA,35.33,34.07,-1.26,-0.036,-0.13
Arch Coal,ARCH,147.55,136.43,-11.12,-0.075,-0.13
Eagle Materials,EXP,272.06,257.75,-14.31,-0.053,-0.13
Spirit Aerosystems,SPR,36.28,35.21,-1.07,-0.029,-0.13
Range Resources,RRC,31.33,29.88,-1.45,-0.046,-0.13
